mode,affinity,rmsd_lb,rmsd_ub
1,0.0,0.0,0.0
2,0.0,2.993,5.768
3,0.001,2.552,3.042
4,0.002,8.004,10.728
5,0.009,2.875,4.404
6,0.009,3.026,5.284
7,0.009,4.369,6.597
8,0.009,3.126,5.155
9,0.009,3.24,4.837
10,0.009,3.14,5.439
11,0.009,8.383,11.117
12,0.009,4.174,7.044
13,0.009,4.942,7.886
14,0.009,5.95,8.189
15,0.009,6.614,8.563
16,0.009,8.102,11.264
17,0.009,6.888,9.338
18,0.01,4.06,6.98
19,0.01,7.77,9.913
20,0.01,4.085,6.898
21,0.01,3.361,5.016
22,0.01,7.104,9.586
23,0.01,5.098,6.409
24,0.01,3.525,5.181
25,0.01,3.333,4.835
26,0.01,7.998,10.783
27,0.01,6.882,9.851
28,0.01,8.058,10.129
29,0.01,3.632,5.367
30,0.011,6.895,9.084
31,0.011,5.517,7.266
32,0.016,3.462,4.768
33,0.017,6.783,8.656
34,0.02,5.531,8.238
35,0.02,6.006,7.788
36,0.021,3.152,4.979
37,0.021,6.959,9.205
38,0.021,2.986,5.855
39,0.021,6.634,9.583
40,0.021,4.894,7.544
41,0.021,7.897,9.708
42,0.021,5.323,7.889
43,0.021,3.014,4.457
44,0.022,5.795,8.696
45,0.022,3.169,6.02
46,0.022,3.511,4.587
47,0.022,5.811,7.827
48,0.022,4.433,6.445
49,0.023,5.4,8.121
50,0.023,5.6,8.444
